Job_title; Location; Salary; Company_name; Job_description 
Fullstack Software Engineer;Manchester, Greater Manchester;Up to £95000 per annum + + fantastic benefits;Searchability (UK) Ltd;* JAVASCRIPT / REACT / NODE / AWS * MUST be eligible for SC security clearance * Salary up to £95k * Hybrid Working We service a range of industries, creating and delivering high quality business solutions to help our clients day-to-day! We make real change within these businesses and are looking for someone who will match our enthusiasm for producing the right solutions every time. We have a supportive culture, putting collaboration and innovation in the centre of what we do, and as such have close-knit teams designed to create a great working environment. This Senior Full Stack JavaScript Developer role sits within the Experience Engineering Team unit, you'll be predominantly focusing on building digital experiences via full stack web and mobile applications.
Backend Software Engineer;Manchester, Greater Manchester;£55000 - £75000 per annum;Searchability (UK) Ltd;* C# // .NetCore // AWS // £ 65,000 - £75,000 // Greater Manchester * Hybrid - 2 Days in the office per month Fast-paced & forward-thinking role with an ambitious start-up software house. We've inherited a very successful product, and are looking to expand its use to a variety of new sporting events, as well as enhance a new and modern form of fantasy gaming. We work in an Agile and innovative environment, building, enhancing and maintaining our products to ensure we are meeting our long term objectives. Our team focuses on technology strategy, design and delivery. We are looking for an energetic and self-starting Backend Developer with a minimum of 2 years C# (.Net Core) experience. We are looking for someone with strong communication skills to discuss with colleagues and improve when writing and testing code. * Flexible working * Company Shares * Life Insurance
Software Engineer (GoLang) up to 115K- Fully Remote;M1, Manchester;Unspecified;Sanderson Recruitment;Software Engineer (GoLang) 70k-115k depending on experience Fully remote We are representing an award-winning multi-service provider who are looking for Software engineers to join their team fully remote. They are looking for a developer with Go experience who will be part of a dynamic team designing and delivering a payments platform. If you enjoy a delivery focused, fast paced environment and are a motivated individual then this is the role for you! We will consider a range of engineers from a range of different programming disciplines and cross train people into GO or GoLang. You will have a passion to learn and develop into the GoLang space. * Experience of OO or functional programming languages such as JavaScript, Java, React, Node, Python and C++ * Experience of Go / GoLang will be highly desirable and ideal
Graduate Embedded Software Engineer;Manchester, Greater Manchester, M3 3WB;£20000 - £30000 per annum + + BENS;Applause IT Limited;Applause IT are partnered exclusively with a software company to recruit a new Graduate Embedded Software Engineer to work on a range of embedded C++ and Linux products within the music/audio space. You'll be working on products used by everyone from FOX to Britain's Got Talent, based out of Manchester office, although with Hybrid or remote options available. You'll be joining a nicely-sized team of developers, where we'll be able to provide you with bespoke progression plan, and give you the time to develop that you need and deserve, to turn you into a fully-rounded embedded software engineer. In this instance, the successful Graduate Embedded Software Engineer will be a bright grad, with a 1st Class or 2:1 in maths/physics, software engineering or similar, and good understanding of embedded C++ and/or Linux.
Graduate Software Engineer Java;Prescot, Merseyside;£21000 - £32000 per annum + Benefits;Ascent People Ltd;Junior Software Engineer, Graduate Software Developer, Java Developer Are you a recent Software engineering or Computer Science graduate? OR are you a junior software engineer looking to work at a better company and gain great career progression? If so, this one is for you! My client is a global company that has been established for many years. They have an excellent reputation for developing graduate careers They are looking for a junior software engineer/graduate software developer to join them and train up as a Java developer. JOB RESPONSIBILITIES; Software Engineer * Work as a member of the Development Team designing and writing programs. * Perform coding to technical specifications, whilst following coding standards. * Investigate, analyse and document reported defects. * Perform maintenance programming and correction of identified defects.
Software Engineers Android & iOS iPlayer Mobile;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction We are looking for Software Engineers to join the iPlayer Mobile team. BBC iPlayer is one of the UK's most well-known and loved brands, and we're looking for passionate team members to join our collaborative, cross-discipline, agile teams. We welcome applications from all, regardless of age, gender, ethnicity, disability, sexuality, social background, religion and/or belief. As a Software Engineer for the iPlayer Mobile team, you will have the opportunity to join an engineering team that delivers an intuitive and engaging streaming experience to millions of audience members every day. To be successful in this role you will need a good understanding of object-oriented programming, clean architecture, and test-driven development. We usually work in Kotlin/Java (Android), and Swift/Objective-C (iOS) so experience with these
Principal Android Software Engineer iPlayer;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction We are looking for a Principal Android Software Engineer to join the iPlayer Mobile team. BBC iPlayer is one of the UK's most well-known and loved brands, and we're looking for passionate team members to join our collaborative, cross-discipline, agile teams. We welcome applications from all, regardless of age, gender, ethnicity, disability, sexuality, social background, religion and/or belief. As a Principal Software Engineer for the iPlayer Mobile team, you will be one of the technical experts in the Android engineering space. We want to ensure that our applications continue to be world class, and we are looking for someone who is passionate about application architecture and engineering excellence, and who is motivated by the challenge of ensuring that our application is fit to meet our product ambitions of the future.
Software Engineer - Children's Games Engineering;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction The Games team oversees all the games you can find across the world famous CBeebies and CBBC product portfolio. We're a small team that cares about building quality products for kids who love games. * Games Hosting - AWS backed infrastructure with a React front end * In-house Game Engines - HTML5/JavaScript engines based on PixiJS and Phaser * Delivery Pipeline - Maintenance and development of CI pipeline and SDK and guidelines * Testing Tools - Various tools to aid with QA and debugging of HTML5 games * Games Portfolio - Portfolio of over 300 games Our long-term strategy is to improve and redefine how games are made and delivered at the BBC and ultimately improve the important role they play in the organisation.. Join us for an engaging experience with a unique set of challenges rather unlike anything else you get in the world of web development.
Software Engineer - Silver;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction We are looking for a talented Software Engineer, with a good balance of technical and communication skills. You will be working with project, product, business analyst and technical leads to understand requirements and implement suitable technical solutions. The team is currently made of 3 engineers and is looking to expand. Comprising a unique mix of front-end, back-end and broadcasting expertise, we are a highly collaborative team. We value our staff, offering regular training and development opportunities, as well as 'innovation time' - allowing dedicated time for self-improvement, learning and innovation. We take the time to reflect and improve on how we are working through team retrospectives and individual mentoring. We are a hard-working team who is supportive, who cares about each other and promotes a healthy work-life balance.
Software Engineer;WA1, Warrington;£31931 - £34709 per annum;Science and Technology Facilities Council (STFC);Salary: £31,931 - £34,709 gross per annum Location: Daresbury, Warrington Positions: 2 x Open Ended Hours: Full Time (We understand the importance of work-life balance, and are happy to discuss the possibility of flexible working with applicants) An allowance up to £1000 may be available for candidates with high levels of skills and experience The Role If you're looking to use the very latest open-source frameworks and APIs on the client and server in real world applications in a role with career prospects, extensive benefits, and learning & development that is second to none, then this is the job for you. Hartree's mission is to accelerate the adoption of cutting-edge computing to allow the organisations we work with to be innovators in their fields.
Java Software Engineer - Home Working;Blackburn, Lancashire;£32.39 - £43.20 per hour + PAYE/Umbrella;Outsource UK Limited;Based in Samlesbury a Java Software Engineer is required on a 9-month contract basis to work for a Defence client. Hourly Pay Rate £32.39 PAYE or £43.20 Umbrella This role is based in Samlesbury although the location is not critical as this role is suited to home working. Overview * The Software Developer will work as part of a team of engineers that will be located across different sites and will be responsible for the development and low-level testing of software products that will be delivered into the Supply Chain Management System. * Liaise with the software team who are split between Samlesbury and Yeovil. * Provide support to the training and coaching of less experienced members of the team. * The role will provide support to the SJT lead, in understanding the Java capabilities and exploiting these in the delivery of a more effective SJT toolset. Skills
Software Engineer (C++);M50, Salford;£50000 - £60000 per annum;IN4 Talent;We are workign with a modern day technology business who have platform for businesses in luxury retail, fashion & art, enabling creation of virtual stores that boost sales and customer engagement. THe company was created with a purpose to re-define e-commerce, changing the way brands and products are presented online. With a vision to become the world's leading solution for e-commerce front-end, we are building new technology frontier, highly-differentiated virtual experiences which extend brands' physical retail experience into the digital world, adding a layer of interactivity and personalisation by using cutting edge 3D technology. About the role We are looking for an C++ Software Engineer to join our clients Engineering team who has an interest in learning skills within Unreal/Unity. This position is remote and full-time.
Software Engineer;Knott Mill, M1;Unspecified;Amber Resourcing;Mid-Level Software Engineer | £45,000 - £50,000 Basic | Manchester Central (Hybrid Working) .Net Core | .Net 5 | C# | AWS | Kubernetes | Angular | Azure DevOps | TeamCity | Octopus | Google Cloud Platform GCP The Company - Software Engineer My client are one of the fastest growing FinTechs in the UK. They have received several rounds of investment including £10 million recently. They have flourished across the last few years, including success over the covid period, and are now looking to invest into the technical team. They are in process of expanding their product suite and therefore are looking for a Senior Software Engineer to add to the team to help create a host of greenfield projects. They operate in the B2B fintech space. Their products vary from payment automation, AI-based solutions, payments solutions.
Software Engineer - PHP / JavaScript - Remote;Manchester, Greater Manchester;£30000 - £60000 per annum + Remote work - Flexible working;Oscar Associates (UK) Limited;Software Engineer - PHP / JavaScript | £60,000 | Sports Brand | Full Remote The main focus of this role will be the maintenance and optimisation of the PHP & JavaScript applications on MySQL databases. You'll also get involved in improving the system's interfaces, services and applications which are used globally. You will be responsible for modernizing the current products and updating the tech stack. We are looking for experienced Developers who enjoy knowledge sharing and researching emerging technology trends. * Backend: PHP, ideally MVC framework experience * Frontend: JavaScript, ideally frameworks such as ReactJS * AWS * SQL databases One UK's of leading sports labels with a growing presence in Europe, Asia and the US.
Backend Software Engineer - Java;M1, Manchester;Up to £35000 per annum;Tech Returners;Job Title: Backend Software Engineer - Java Location: Remote (Office Based in Manchester) Salary: From £35,000 Job type: Full Time Are you an experienced java software engineer looking to return to your tech career following a break? Tech Returners provides the UK's only free 'Your Return to Tech' programme designed to support returners back into successful tech jobs. At Tech Returners, we partner with businesses focused on hiring inclusive and diverse tech teams - this enables us to offer a course that's totally free to individuals. Our upcoming 'Your Return to Tech' programme starts in October 2022 with interviews to be conducted with hiring businesses in January 2023 - kicking off an exciting start to your year!
Full Stack Software Engineer ( PHP / Laravel );Brunswick, M1;£35000 - £55000 per annum + benefits;Cathcart Technology;Fully remote (or Manchester) Software Engineer - Full Stack (PHP, Laravel, JavaScript, React, AWS) - to join high-growth scale-up. They have big growth plans for the next six-twelve months and are growing their technical team! Their platform helps freelancers and companies to find each other and they're also working on an exciting Artificial Intelligence platform - they have a user base of over half a million people (and growing!). Their tech stack is built around PHP, Laravel, JavaScript and React in an AWS environment. They are headquartered in Manchester but they are a remote-first company and happy to support fully remote working in the UK. They are offering a salary up to £55,000 with bonus and share options. If you're interested, please apply and/or get in touch with Rhona Kennedy at Cathcart Technology.
Software TestStand Engineer - Defence;SK3, Stockport;Unspecified;AKKA Development UK Limited;Software TestStand Engineer- Hybrid Working (Cheadle) * Flexi-time (40hr week) * Private Healthcare & Pension * 28 holiday + Bank Holidays AKKAs Software team is growing thanksto successful project wins and achievements over the last few years in the Defence industry. The team provides a wide range of flexible support across development and test, supporting larger critical programmes for our Defence customers. What you will be doing * Developing a TestStand test management system in accordance with an already-written internal specification. * Creation of automated tests on target hardware and simulated environments * Collation of results and reporting to stakeholders * Supporting, encouraging and sharing knowledge with other team members whilst promoting best practice What you will need
Software Developer;Halifax, West Yorkshire;Negotiable;Rise Technical Recruitment Limited;Halifax / Hybrid £45,000 + Progression + 25 days Holiday + Growing Team + Hybrid Working + Onsite Parking Are you a confident Software Developer looking to join an exciting company with an expanding and growing tech department? This company have been leading their market for 15 + years and are looking to continue their growth and expansions. A big part of that requires adding another Software Developer to join the tech team and help the company to achieve their desired growth plans. In this role you will play a key part developing new and existing web based systems to meet the businesses technical requirements, test software, fix problems and maintain and develop code. You will be working predominantly with ASP.NET, JavaScript, SQL Server, HTML and CSS.
Principal Software Engineer;Lacey Green, SK9;£65000 - £75000 per annum;Chroma Recruitment Ltd;A world leading engineering company are recruiting for a Principal Software Engineer to strengthen their R&D team. This is due to continued growth and a large uplift in projects involving analytical equipment. The Principal Software Engineer needs to be a dynamic and agile individual, managing business-as-usual whilst enhancing and developing new technologies. The Principal Software Engineer reports directly to the Chief Engineer in the team whilst working collaboratively with the other Software and Hardware Engineers on designing, developing and prototyping concepts for client projects. The role of Principal Software Engineer is hybrid, going on site a couple of times a week when needed to work collaboratively on projects. * Degree in Engineering/Computer Science or equivalent) * C# (in an engineering environment) * Linux/VxWorks * Experience working on hardware
Java Software Engineer;Manchester, Greater Manchester;£40k - 45k per year;ECOM Manchester;A bit about the company This company delivers innovative, autonomous software solutions and content services to the entertainment industry worldwide as they draw on all elements of different operations and content services together into a single, automated workflow. They have a truly global reach; the products that have developed products are used in 90 different countries around the world making them the leading digital entertainment solution provider and their customers include the major Hollywood and independent film studios and the largest cinema operators. Team and Job Purpose The company feels, acts, and behaves as one big team, working inclusively and collaboratively to develop innovative products by encouraging employees to share their ideas.
Full-Stack Software Engineer;PR1, Preston;£50,000;Hyperloop Recruitment;£50,000 Preston (remote-first) Hyperloop Recruitment are working with a leading software solutions provider in Preston who are recruiting for a Full-Stack Software Engineer to join their growing development team, on a remote-first basis. Our client are looking for a strong mid-level Full-Stack Software Engineer who is a confident using object-oriented PHP alongside a MySQL database. On the frontend you will be focused on React and TypeScript, and NodeJS for some standalone features would be an advantage. All code is unit tested and deployed using GitLab hosted on AWS. The role would suit a strong Engineer looking for an exciting next step in their career, with the opportunity to become a key player in shaping the technical direction of our clients' features and products. The Full-Stack Software Engineer will be entitled to a salary of up to £50,000 (DOE) + benefits.
Software Developer;City Centre, M2 5DB;From £40,000 to £60,000 per annum plus pension, healthcare, holidays &;MATCHED GROUP LIMITED;Basic:£40,000 - £60,000 + benefits Role:Design and code forward thinking software Location:Hybrid - 4 days a week in the Manchester city centre or Cheshire office Private equity backed + fast growth + career progression * Do you have 2+ years professional experience as a Software Developer or Software Engineer using C#, .Net, MVC? * Are you enthusiastic about learning new technology and skills? * Do you want to join a growing forward thinking software vendor? Our client is a fast growing, private equity backed SaaS company who provide a unique platform used by a number of industries to win, deliver, and manage projects profitably. By combining a number of features such as Data, Financial Information, and Project Management into one end-end cloud solution that customers love.
Software Developer;Manchester Industrial Centre, M15 4JJ;competitive salary;Insurance Revolution;We are looking for talented Software Developers to join our team. Everyone is trusted to work on their own projects whilst ensuring they hit their own deadlines and get the support to develop themselves whilst building tools that will help our staff and customers. We work in a fast paced environment and we are not afraid of changes of tech and architecture. As the business grows, we want our Software Developers to help shape and reimagine how the business operates, as no idea is a bad idea and Senior Management value the opinions and ideas from all staff. Key skills and experience * at least 2 years commercial experience * extensive knowledge of javascript / typescript * knowledge of design patterns Beneficial but not essential * message driven systems, microservices * docker / kubernetes deployment * database knowledge - both SQL and NoSQL We will offer you
Backend Software Engineer C# .Net Core API;Manchester, Greater Manchester;£45000 - £55000 per annum + benefits;CSR DevC#C++Mobile;Backend Software Engineer Remote / Leeds WFH to £55k Backend Software Engineer / Developer (C# .Net Core API AWS) *Remote / Hybrid WFH*. Would you like to progress your career working on a range of projects for big name clients? You could be joining a digital agency with ongoing training and development opportunities as well as a range of perks and benefits. As a Backend Software Engineer you will focus on serverside development for a range of client based digital transformation projects with a focus on a large, enterprise scale business. Youll collaborate as part of an Agile delivery team with exposure across the full development lifecycle. Youll be using a range of technologies including C#, ASP.Net Core, Web APIs, SQL and AWS and will have opportunities to expand your skillset with regular training.
Software Developer;M1, Manchester;£50000 - £70000 per annum;Made Talent;You will be working with one of the leading international providers of digital services which covers transformation, technology, data analytics and systems integrations services. With an average Tenure of 8 years, you will be working with a company that holds culture and employee satisfaction at the core of their values. With a goal of creating economic and social value by building a more inclusive, fair and safe society through ethical use of data and technology, you will truly feel value in your work knowing you are in Tech4Good. As a Lead Developer within a tech4good consultancy, you will be part of a diverse, multi-disciplinary team working closely with experienced Architects and Technical Delivery managers to work on solutions that help people's lives. You will play a key part in the design and delivery of all aspects of our software solutions.
Siemens Software Engineer;Newton Common, WA12;From £55,000 to £70,000 per annum + overtime;Samuel Frank Associates;Siemens TIA Portal Software Engineer Near Warrington - £55-70k + overtime for site work Samuel Frank is recruiting for a Siemens TIA Portal Software Engineer to join a multi-site specialist Engineering firm based near Warrington. The successful Siemens TIA Portal Software Engineer will need to have recent/thorough knowledge of Siemens TIA Portal with the salary dependent on your level of experience. Key aspects of the Siemens TIA Portal Software Engineer role include; * Responsible for the system configuration, including PLC code and WinCC SCADA configurations to meet project requirements. Identifying any functionality changes to be made to core software or core PLC code
Software Engineers - Geospatial;M5, Salford, M5 3LZ;Competitive Salary + Benefits;CGI;Job Description Position Description If you're looking for a challenge that stretches your talents and you want to make a real difference in people's lives, come and help us support the digital transformation of the UK. We need a passionate GIS Software Developer to join us, working with high profile public and commercial clients, building systems that make the everyday easier. Our working approach is built around our client's needs. That's not to say yours aren't important too and in a post-pandemic world, we want to extend the offer of an open discussion to you as to whether a role can be office or home-based, flexible or hybrid. There will be an initial on-site induction period in Chippenham, with the flexibility for fully remote working thereafter.
Software Engineer;M5, Salford, M5 3LZ;Competitive Salary + Benefits;CGI;Job Description Position Description If your programming skills are matched by an enthusiasm for problem-solving, and your communication skills are as creative as your coding, there's a digital revolution underway in the UK that could use your help as we are recruiting Software Engineers to work with high profile clients, building systems that make the everyday easier. You will be part of a fast-growing team supporting the technology for several large clients, mainly in the financial services sector. We have roles available to suit differing levels of experience, but everyone has the opportunity to continually grow their skills within the team. Typically, the team owns the entire solution including the application and the cloud platform on which it runs, leading to the satisfaction which comes from building and operating a complete solution to a customer's problem.
Software Engineers;M5, Salford, M5 3LZ;Competitive Salary + Benefits;CGI;Job Description Position Description Our Software Engineering teams are bursting with talent, and are trusted to help deliver transformative digital work for high profile private and public sector clients. From cutting-edge projects to essential infrastructure, our work has a wide reach. When you start your CGI story, not only will you be improving people's lives, you can be sure we'll do the same for you. CGI was voted 'Best Workplace' by Great Place To WorkTM in 2021, and offer a competitive salary, excellent pension, private healthcare, plus a share scheme (3% + 3% matching) which makes you a member not just an employee. All applicants must hold or be prepared to undergo National Security Vetting (NSV) Security Check (SC) level. Your future duties and responsibilities
Software Engineer;Westinghouse Ind Est, M17;£28000 - £45000 per annum;Chroma Recruitment Ltd;MULTIPLE ROLES: A leading engineering company in their industry have secure new projects and are rapidly expanding across all disciplines. Multiple Software Engineers are required to design scientific software for electronic based products used to improve the scientific and medical community. Graduates with a scientific degree and an interest in Software Engineering will also be considered for this role. Theyre open to graduate engineers through to mid-level/senior engineers. As Software Engineer youll be responsible for developing high level code and architecture to communicate with an engineering device. Youll be working in a full lifecycle development cycle at all stages. It is important that candidates are comfortable to do everything from design, unit testing and debugging and review of code.
Software Engineer - Machine Learning Libraries;Manchester, Greater Manchester;Competitive;ARM;Are you interested in working on Machine Learning (ML) software for the most innovative CPU technologies in server and cloud compute? We have an opening in the Machine Learning team in Manchester, UK to join a small team of Engineers focussed on making Arm-based hardware the natural choice for ML in the datacenter. In this role you will be contributing to key open source ML software projects. In particular Compute Library for the Arm Architecture; an open source software project providing machine learning functions for both CPU and GPU. You will work with colleagues in Manchester and Cambridge to optimise Compute Library for server-scale hardware, and integrate it with frameworks and libraries for deployment on our partners' hardware. You will work with exciting technology, help to implement new algorithms, and optimise for the latest Arm server hardware.
Applications Engineer;Bradley, HD2 1UR;Up to £40000.00 per annum;E3 Recruitment;This permanent Applications Engineer position is with a UK based OEM company, specialising in the installation and commissioning of manufacturing equipment within the chemical & pharmaceutical sectors. Our client is a leading supplier of special purpose machinery for an array of industries on a global scale who are recruiting for an Engineering Application Engineer. They have been established since the 1940's and have made an extremely respectable name for themselves which has resulted in them securing a number of blue chip clients along the way. Due to a very successful year they now have a requirement for an experienced Applications Engineer to bolster their established team.
Software Engineer - Node.js / React / GraphQL;M2, Manchester;£35000 - £55000 per annum;Chroma Recruitment Ltd;Software Engineer JavaScript Chroma are recruiting for a Software Engineer to join a growing team based in Manchester. The company itself are within the energy engineering sector and create wireless IOT devices. This is a hybrid role with 2 days a week on site. In this role you will be working on systems used in the real world and making a genuine difference with the development that you do. You will be joining the team as they are going through a digital transformation and work on systems used by both the public and private sector and which provide the insight needed to deliver a world where net zero is achieved. The application can monitor things such as energy usage, temperature, C02 etc and businesses can then make changes to reduce their carbon emissions. The application is data intensive and real time so any experience in those areas would be handy.
Software Engineer {MOD, Defence};M1, Manchester;£40000 - £60000 per annum + Company Benefits;Ernest Gordon Recruitment;United Kingdom £40,000 to £60,000 + Company Benefits Are you a Software Engineer looking to join a leading global engineering, aerospace, and defence company? Do you want to work on exciting and bespoke projects for organisations such as the MOD? Do you want clear progression and the opportunity to push your knowledge to the limits? On offer, is an exciting opportunity for a Software Engineer to join one of the world's largest engineering, aerospace and defence businesses working on global projects for organisations such as the MOD. Playing and integral part of a highly skilled multi-disciplined team, you will be responsible for developing technical solutions to support business processes within the global organisation and to support updates to existing solutions and software against business requirements.
Software Engineer, £70k;Manchester, Greater Manchester;£60k - 70k per year;ECOM Manchester;This is an excellent opportunity for you to really make your mark within a growing and ambitious company that that is exploiting a potentially disruptive technology within a huge growth sector. Up to £70,000, plus company benefits? Regular flexible/ Remote working? Access to company share scheme This is a unique opportunity to join an AI start-up aiming to improve the world by helping businesses better understand and improve the environmental and social impact they have on the planet. As a Senior Software Engineer you’d work alongside the CTO to design and develop highly scalable, highly available software. You’d be given the opportunity to define, document and champion coding standards, patterns, and procedures in all aspects of the technical stack, including a leading role in their further adoption of AWS, DevOps and Microservices. * NodeJs, ReactJs,
Software Engineer £50k + unlimited holidays;Manchester, Greater Manchester;£40k - 50k per year;ECOM Manchester;This is a unique opportunity for a Software Engineer to join a remote tech start-up that’s on a mission to create a sustainable future by helping people dramatically cut their carbon emissions and reduce their energy bills through the use of renewable technology. Up to £50,000 plus company benefits? Regular flexible/remote working. Unlimited Holidays You’d join a small autonomous product team that works collaboratively to build products and tools all the way from idea to production, so as well as writing, testing and deploying code, you'd also be helping to write requirements, solve problems and design architectures… which means there’s a big opportunity to make an impact!
